prune_rate,compression,epochs,val_top_5,val_top_1
5.1,0.995934289551083,30,0.797070324420929,0.2787109315395355
6.1,0.996061986637118,30,0.8661133050918579,0.3607421815395355
7.1,0.996181445201473,30,0.5003906488418579,0.1689453125
8.1,0.9962967845049884,30,0.49853515625,0.09765625
3.1,0.995604748683896,30,0.950585961341858,0.5376952886581421
4.1,0.9957448035524504,30,0.94677734375,0.51806640625
4.9,0.9958972162035244,30,0.92529296875,0.42724609375
1.1,0.9948303276460072,30,0.981054663658142,0.6656249761581421
2.1,0.9953781893377052,30,0.965527355670929,0.62109375
2.3,0.9954440975111426,30,0.96044921875,0.6167968511581421
2.5,0.9954894093803808,30,0.963574230670929,0.6073242425918579
2.7,0.9955182442062596,30,0.965234398841858,0.610156238079071
2.9,0.9955676753363376,30,0.951367199420929,0.5645507574081421
4.2,0.9957777576391692,30,0.94873046875,0.526660144329071
4.3,0.9957901154216887,30,0.9483398199081421,0.521679699420929
4.4,0.9958065924650481,30,0.938671886920929,0.533203125
4.5,0.9958436658126066,30,0.9090820550918579,0.4847656190395355
4.6,0.9958642621168058,30,0.834179699420929,0.41142576932907104
4.7,0.9958725006384854,30,0.849902331829071,0.4374023377895355
4.8,0.9958807391601651,30,0.923632800579071,0.42265623807907104
5.0,0.9959219317685635,30,0.92333984375,0.359375
