range_params,upscale,upscale_method,epoch_number,compression,val_top_1
"[0.9995, 0.9995, 0.9995, 0.9994]",0.56,+,4100,0.9942000807375124,0.4751953184604645
"[0.9995, 0.9995, 0.9995, 0.9994]",0.56,+,4101,0.9942000807375124,0.44990235567092896
"[0.9995, 0.9995, 0.9995, 0.9994]",0.56,+,4102,0.9942000807375124,0.45771485567092896
"[0.9995, 0.9995, 0.9995, 0.9994]",0.56,+,4103,0.9942000807375124,0.4291015565395355
"[0.9995, 0.9995, 0.9995, 0.9994]",0.56,+,4104,0.9942000807375124,0.4532226622104645
"[0.9995, 0.9995, 0.9995, 0.9994]",0.56,+,4105,0.9942000807375124,0.46162110567092896
"[0.9995, 0.9995, 0.9995, 0.9994]",0.56,+,4106,0.9942000807375124,0.45556640625
"[0.9995, 0.9995, 0.9995, 0.9994]",0.56,+,4107,0.9942000807375124,0.43925780057907104
"[0.9995, 0.9995, 0.9995, 0.9994]",0.56,+,4108,0.9942000807375124,0.44257813692092896
"[0.9995, 0.9995, 0.9995, 0.9994]",0.56,+,4109,0.9942000807375124,0.4561523497104645
